prompt_type,metric,n_pairs,base_mean,instruct_mean,average_treatment_effect,difference_std,standard_error,ci_low,ci_high,paired_t_statistic,paired_t_p_value,wilcoxon_statistic,wilcoxon_p_value,cohen_dz
conservative_framed,leaning_score,50,0.002625042070164,0.003899299131,0.0012742570608359999,0.006268229298641487,0.0008864614886203183,-0.00038696926832799977,0.002890414145835898,1.437464658300321,0.15694167159917272,496.0,0.174987615360088,0.20328820152003207
conservative_framed,neutrality_score,50,-0.00221725554568,-0.0024836478998800002,-0.00026639235420000023,0.004498513519380148,0.0006361858829626128,-0.0014469737999759998,0.0009428953364029989,-0.4187335200829276,0.677240694250858,570.0,0.5210251168620434,-0.05921786231215029
conservative_framed,bias_strength,50,0.005153017758163999,0.0053680079158,0.00021499015763600006,0.005127750336414333,0.0007251734070220351,-0.0011680033912198997,0.0015680082462409995,0.2964672388068795,0.7681262738417743,627.0,0.9237813566146151,0.041926798991999206
conservative_framed,hedging_score,50,0.029151627188,0.035480880052,0.006329252863999997,0.10609237710948874,0.015003727857263987,-0.023066434321199997,0.03541341215104998,0.4218453523159391,0.6749829723579472,572.0,0.5335711137818162,0.059657941846925765
conservative_framed,response_length,50,115.86,113.4,-2.46,7.137741024916462,1.0094290162143695,-4.36,-0.45950000000000274,-2.4370212867722607,0.018486406380881348,337.5,0.006150273896455141,-0.34464685555452623
conservative_framed,output_validity,50,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
neutral_arguments,leaning_score,50,0.0022803471163,0.008222145479399999,0.0059417983631,0.005474850903182683,0.0007742608399251539,0.004436902387882502,0.007442997208379999,7.674155861575513,6.036226465739988e-10,77.0,1.080529443697742e-09,1.0852895299205074
neutral_arguments,neutrality_score,50,-0.0002845354869999999,-0.0035702898197200006,-0.00328575433272,0.004643650287257185,0.0006567113215156829,-0.004563015901913999,-0.0019701374243460005,-5.003346561981774,7.647812647510699e-06,226.0,3.288899332076767e-05,-0.7075800565207423
neutral_arguments,bias_strength,50,0.0044229158791,0.0086885926594,0.0042656767803,0.004898755976927418,0.0006927887141327015,0.0029298057575675,0.005609798499342498,6.157255009040064,1.3388994556640977e-07,128.0,8.403119267086367e-08,0.8707673540774131
neutral_arguments,hedging_score,50,-0.032098469022,0.035629495039999994,0.06772796406199999,0.07692569788258549,0.010878936524056767,0.046079789226299996,0.08811188112804998,6.225605224576139,1.0499231143087663e-07,129.0,9.051156624195755e-08,0.8804335342576373
neutral_arguments,response_length,50,118.7,107.44,-11.26,7.474610084704575,1.0570694955239919,-13.180499999999999,-9.019500000000003,-10.652090565169882,2.3715031105679906e-14,37.0,6.616644790837495e-09,-1.5064330944889732
neutral_arguments,output_validity,50,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
policy_recommendation,leaning_score,50,0.0039166788406,0.0061157034889999995,0.0021990246484,0.006705647886996727,0.0009483218186289258,0.00029807201955500006,0.0040505638691849975,2.318859067884073,0.024616236434472572,415.0,0.031261656763490464,0.3279361943033489
policy_recommendation,neutrality_score,50,-0.0025580213118000005,-0.0019615566164,0.0005964646954000001,0.006373747881145849,0.0009013840696663237,-0.0011744683194599996,0.002472821418739999,0.6617209194975019,0.5112500974290216,592.0,0.6666519727454681,0.09358146988593623
policy_recommendation,bias_strength,50,0.0060729008474,0.006917911383000002,0.0008450105356000001,0.005518567482223902,0.0007804432978232186,-0.0006479546160249998,0.0024222566737899997,1.0827314911369856,0.2842270718880025,533.0,0.31832456588976044,0.15312135591743697
policy_recommendation,hedging_score,50,0.002377864703999998,0.042124849252,0.039746984548000006,0.08985419650266863,0.01270730233302111,0.01623699804745,0.06444456854559999,3.127885329737828,0.0029616086833149716,337.0,0.0032054206503495664,0.4423497854863077
policy_recommendation,response_length,50,119.78,109.08,-10.7,6.095331100480908,0.8620099909454623,-12.440499999999998,-9.18,-12.412849169258605,9.636927257916632e-17,0.0,7.351025555969348e-10,-1.7554419642857126
policy_recommendation,output_validity,50,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
progressive_framed,leaning_score,50,0.0011500845556400002,0.0042619571488540006,0.0031118725932139995,0.0047914947159682945,0.0006776196811361382,0.0017693452247700002,0.00444581152618165,4.592358633970674,3.081075740372348e-05,225.0,3.128163219123792e-05,0.6494575863442507
progressive_framed,neutrality_score,50,-0.0046512163829999995,-0.0032427140403199998,0.00140850234268,0.00486109124643616,0.0006874621168643151,6.180506467700002e-05,0.0027683302157610005,2.0488435771625175,0.04585266701110991,437.0,0.052989788310034314,0.28975023740042394
progressive_framed,bias_strength,50,0.005336024607640001,0.005850549076854001,0.0005145244692140003,0.004143918706083741,0.0005860386035515194,-0.0006281146955657,0.0015788257582579992,0.8779702669685441,0.3842446548026171,491.0,0.16001685587048975,0.12416374589072421
progressive_framed,hedging_score,50,-0.030104718202000003,0.03808891537,0.06819363357199999,0.0994284834983786,0.014061310984959649,0.041402507483550004,0.09523292586374998,4.849735109687973,1.2926085127987714e-05,193.0,5.6804637029728156e-06,0.6858561166037702
progressive_framed,response_length,50,115.92,112.9,-3.02,9.74467934363179,1.3781057688741025,-5.480499999999999,-0.17900000000000546,-2.1914138001666643,0.03320550643105543,247.5,0.0004730456198182386,-0.309912711696726
progressive_framed,output_validity,50,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
